"Year","MatMort","NeoMort","InfMort","Under5Mort","ISO"
2000,NA,NA,NA,NA,"ABW"
2001,NA,NA,NA,NA,"ABW"
2002,NA,NA,NA,NA,"ABW"
2003,NA,NA,NA,NA,"ABW"
2004,NA,NA,NA,NA,"ABW"
2005,NA,NA,NA,NA,"ABW"
2006,NA,NA,NA,NA,"ABW"
2007,NA,NA,NA,NA,"ABW"
2008,NA,NA,NA,NA,"ABW"
2009,NA,NA,NA,NA,"ABW"
2010,NA,NA,NA,NA,"ABW"
2011,NA,NA,NA,NA,"ABW"
2012,NA,NA,NA,NA,"ABW"
2013,NA,NA,NA,NA,"ABW"
2014,NA,NA,NA,NA,"ABW"
2015,NA,NA,NA,NA,"ABW"
2016,NA,NA,NA,NA,"ABW"
2017,NA,NA,NA,NA,"ABW"
2018,NA,NA,NA,NA,"ABW"
2019,NA,NA,NA,NA,"ABW"
2000,37.67115207,37.67115207,85.55713132,137.5449914,NA
2001,36.86857678,36.86857678,82.53188388,132.1296314,NA
2002,36.03043776,36.03043776,79.36310008,126.4633285,NA
2003,35.1846309,35.1846309,76.24338583,120.8348265,NA
2004,34.32607447,34.32607447,73.22076952,115.4043538,NA
2005,33.50210187,33.50210187,70.28120223,110.1448593,NA
2006,32.74777947,32.74777947,67.58222948,105.2067126,NA
2007,31.97290805,31.97290805,64.90957431,100.2209939,NA
2008,31.262069,31.262069,62.38313267,95.33053644,NA
2009,30.56522362,30.56522362,59.98633496,90.5094233,NA
2010,29.88193945,29.88193945,57.79580247,86.11572214,NA
2011,29.22051347,29.22051347,55.67965817,82.05748353,NA
2012,28.57428522,28.57428522,53.73743013,78.25007097,NA
2013,27.95688633,27.95688633,52.00407493,74.81667325,NA
2014,27.348936,27.348936,50.41558946,71.79495789,NA
2015,26.7837127,26.7837127,48.95864126,69.13815746,NA
2016,26.22490573,26.22490573,47.52724371,66.51592775,NA
2017,25.69128825,25.69128825,46.1081401,64.24399372,NA
2018,25.13165636,25.13165636,44.79522074,62.07293632,NA
2019,24.5979354,24.5979354,43.59125166,60.05415038,NA
2000,60.9,60.9,90.5,129.2,"AFG"
2001,59.7,59.7,87.9,125.2,"AFG"
2002,58.5,58.5,85.3,121.1,"AFG"
2003,57.2,57.2,82.7,116.9,"AFG"
2004,55.9,55.9,80,112.6,"AFG"
2005,54.6,54.6,77.3,108.4,"AFG"
2006,53.2,53.2,74.6,104.1,"AFG"
2007,51.7,51.7,71.9,99.9,"AFG"
2008,50.3,50.3,69.2,95.7,"AFG"
2009,48.9,48.9,66.7,91.7,"AFG"
2010,47.4,47.4,64.2,87.8,"AFG"
2011,46,46,61.8,84,"AFG"
2012,44.6,44.6,59.5,80.3,"AFG"
2013,43.2,43.2,57.3,76.9,"AFG"
2014,41.9,41.9,55.2,73.6,"AFG"
2015,40.5,40.5,53.2,70.4,"AFG"
2016,39.3,39.3,51.3,67.5,"AFG"
2017,38.2,38.2,49.5,64.8,"AFG"
2018,37.2,37.2,47.9,62.3,"AFG"
2019,36.1,36.1,46.4,60.1,"AFG"
2000,43.95216135,43.95216135,99.16617376,169.4711147,NA
2001,42.90921397,42.90921397,96.5793404,164.3553376,NA
2002,41.84866308,41.84866308,93.92350562,158.9838056,NA
2003,40.86544028,40.86544028,91.2442253,153.6297794,NA
2004,39.90788885,39.90788885,88.57660878,148.2783528,NA
2005,39.00919165,39.00919165,86.0171123,143.1011193,NA
2006,38.21358493,38.21358493,83.53945121,138.1644716,NA
2007,37.51933436,37.51933436,81.17597055,133.4750447,NA
2008,36.88893011,36.88893011,79.00153677,129.1176461,NA
2009,36.26164215,36.26164215,77.02490628,125.0638226,NA
2010,35.69794091,35.69794091,75.16024311,121.38325,NA
2011,35.19385313,35.19385313,73.5080295,118.0393257,NA
2012,34.74189555,34.74189555,71.96530018,114.9971079,NA
2013,34.35797657,34.35797657,70.55418322,112.1911899,NA
2014,33.95211279,33.95211279,69.24899712,109.6962866,NA
2015,33.57905619,33.57905619,68.00160289,107.2916927,NA
2016,33.16771618,33.16771618,66.67483055,104.637694,NA
2017,32.72579699,32.72579699,65.31384172,102.0320864,NA
2018,32.21974168,32.21974168,63.87577856,99.29113974,NA
2019,31.73890801,31.73890801,62.35233279,96.49428924,NA
2000,50.3,50.3,121.5,204.4,"AGO"
2001,49.2,49.2,118.2,198.4,"AGO"
2002,48,48,114.5,191.5,"AGO"
2003,46.5,46.5,110.4,183.8,"AGO"
2004,45.1,45.1,105.7,175.1,"AGO"
2005,43.5,43.5,100.9,166.1,"AGO"
2006,42,42,95.7,156.4,"AGO"
2007,40.5,40.5,90.6,147,"AGO"
2008,39,39,85.5,137.7,"AGO"
2009,37.7,37.7,80.6,128.7,"AGO"
2010,36.3,36.3,75.9,120.4,"AGO"
2011,35.1,35.1,71.5,112.5,"AGO"
2012,33.8,33.8,67.4,105.1,"AGO"
2013,32.7,32.7,63.7,98.5,"AGO"
2014,31.7,31.7,60.5,92.9,"AGO"
2015,30.8,30.8,57.7,88.1,"AGO"
2016,30,30,55.5,84.1,"AGO"
2017,29.2,29.2,53.5,80.6,"AGO"
2018,28.6,28.6,51.7,77.3,"AGO"
2019,27.9,27.9,49.9,74.2,"AGO"
2000,12.1,12.1,24.1,27.2,"ALB"
2001,11.8,11.8,22.9,25.8,"ALB"
2002,11.4,11.4,21.7,24.4,"ALB"
2003,11.1,11.1,20.4,23,"ALB"
2004,10.9,10.9,19.1,21.5,"ALB"
2005,10.6,10.6,17.8,20,"ALB"
2006,10,10,16.6,18.5,"ALB"
2007,9.2,9.2,15.3,17.1,"ALB"
2008,8.3,8.3,14.1,15.8,"ALB"
2009,7.4,7.4,12.9,14.5,"ALB"
2010,6.7,6.7,11.8,13.3,"ALB"
2011,6.2,6.2,10.8,12.1,"ALB"
